Game Title,Developer,Type,Price
The Legend of Zelda: Ocarina of Time,Nintendo, singleplayer,"91,99 €"
Super Mario Galaxy,Nintendo, singleplayer,"91,99 €"
Super Mario Galaxy 2,Nintendo EAD Tokyo, singleplayer,"91,99 €"
Metroid Prime,Retro Studios, singleplayer,"89,99 €"
Super Mario Odyssey,Nintendo, singleplayer,"89,99 €"
Halo: Combat Evolved,Bungie Software, multiplayer,"87,99 €"
The House in Fata Morgana - Dreams of the Revenants Edition -,HuneX, singleplayer,"83,99 €"
NFL 2K1,Visual Concepts, ,"62,99 €"
Uncharted 2: Among Thieves,Naughty Dog, singleplayer,"88,99 €"
Tekken 3,Namco, multiplayer,"91,99 €"
The Legend of Zelda: The Wind Waker,Nintendo, singleplayer,"90,99 €"
Gran Turismo,Polyphony Digital, multiplayer,"86,99 €"
Metal Gear Solid 2: Sons of Liberty,KCEJ, singleplayer,"88,99 €"
Grand Theft Auto Double Pack,Rockstar North, singleplayer,"81,99 €"
Baldur's Gate II: Shadows of Amn,BioWare, multiplayer,"91,99 €"
Tetris Effect: Connected,Monstars Inc., ,"88,99 €"
The Legend of Zelda Collector's Edition,Nintendo, singleplayer,"89,99 €"
Gran Turismo 3: A-Spec,Polyphony Digital, multiplayer,"84,99 €"
The Legend of Zelda: A Link to the Past,Capcom, ,"90,99 €"
The Legend of Zelda: Majora's Mask,Nintendo, singleplayer,"91,99 €"
The Last of Us,Naughty Dog, multiplayer,"92,99 €"
Persona 5 Royal,Atlus, singleplayer,"84,99 €"
The Last of Us Remastered,Naughty Dog, multiplayer,"92,99 €"
The Legend of Zelda: Ocarina of Time 3D,GREZZO, singleplayer,"90,99 €"
Chrono Cross,SquareSoft, singleplayer,"88,99 €"
Gears of War,Epic Games, multiplayer,"84,99 €"
Sid Meier's Civilization II,MPS Labs, singleplayer,"88,99 €"
Halo 3,Bungie Software, multiplayer,"81,99 €"
Ninja Gaiden Black,Team Ninja, singleplayer,"88,99 €"
Super Mario Advance 4: Super Mario Bros. 3,Nintendo, multiplayer,"89,99 €"
Jet Grind Radio,Smilebit, ,"83,99 €"
Grim Fandango,LucasArts, singleplayer,"91,99 €"
Resident Evil Code: Veronica,NexTech, singleplayer,"85,99 €"
Diablo,Blizzard Entertainment, multiplayer,"87,99 €"
Metal Gear Solid 3: Subsistence,Aspect, multiplayer,"91,99 €"
Metal Gear Solid 4: Guns of the Patriots,Kojima Productions, multiplayer,"88,99 €"
Sid Meier's Civilization IV,Firaxis Games, multiplayer,"82,99 €"
Virtua Fighter 4,Sega AM2, multiplayer,"81,99 €"
Super Mario 64,Nintendo, singleplayer,"91,99 €"
Super Smash Bros. Brawl,Game Arts, multiplayer,"88,99 €"
Company of Heroes,Relic, multiplayer,"87,99 €"
Gran Turismo 2,Polyphony Digital, multiplayer,"90,99 €"
The Last of Us Part II,Naughty Dog, singleplayer,"57,99 €"
Half-Life: Alyx,Valve Software, singleplayer,"92,99 €"
Divinity: Original Sin II,Larian Studios Games, multiplayer,"88,99 €"
Unreal Tournament 2004,Epic Games, multiplayer,"88,99 €"
God of War II,SCE Santa Monica, singleplayer,"90,99 €"
Super Mario 3D World,Nintendo, singleplayer,"89,99 €"
Starcraft II: Wings of Liberty,Blizzard Entertainment, multiplayer,"83,99 €"
Minecraft,Mojang AB, multiplayer,"80,99 €"
Persona 4 Golden,Atlus, multiplayer,"86,99 €"
Persona 5,Atlus, singleplayer,"87,99 €"
Quake III Arena,Raster, ,"83,99 €"
Homeworld,Relic, multiplayer,"88,99 €"
Gears of War 2,Epic Games, multiplayer,"79,99 €"
World Soccer Winning Eleven 6 International,KCET, multiplayer,"84,99 €"
Skies of Arcadia,Overworks, ,"88,99 €"
The Legend of Zelda: Skyward Sword,Nintendo, singleplayer,"81,99 €"
Mario Kart Super Circuit,Intelligent Systems, multiplayer,"78,99 €"
Test Drive Le Mans,Melbourne House, ,"83,99 €"
NBA 2K1,Visual Concepts, ,"72,99 €"
Virtua Fighter 4: Evolution,Sega, multiplayer,"87,99 €"
Uncharted 4: A Thief's End,Naughty Dog, multiplayer,"88,99 €"
Super Smash Bros. Ultimate,Nintendo, multiplayer,"86,99 €"
Paper Mario,Intelligent Systems, ,"90,99 €"
Wipeout XL,Psygnosis, multiplayer,"86,99 €"
World of Warcraft,Blizzard Entertainment, multiplayer,"74,99 €"
Flipnote Studio,Nintendo, ,"75,99 €"
God of War III,SCE Santa Monica, singleplayer,"88,99 €"
NHL 2002,EA Sports, multiplayer,"83,99 €"
Uncharted 3: Drake's Deception,Naughty Dog, multiplayer,"84,99 €"
Bloodborne,From Software, multiplayer,"88,99 €"
Eternal Darkness: Sanity's Requiem,Silicon Knights, singleplayer,"87,99 €"
Warcraft III: Reign of Chaos,Blizzard Entertainment, ,"92,99 €"
Sid Meier's Gettysburg!,Firaxis Games, multiplayer,"74,99 €"
Forza Motorsport,Microsoft Game Studios, multiplayer,"76,99 €"
Advance Wars,Intelligent Systems, multiplayer,"89,99 €"
Vagrant Story,SquareSoft, singleplayer,"90,99 €"
Team Fortress 2,Valve Software, multiplayer,"90,99 €"
System Shock 2,Looking Glass Studios, singleplayer,"91,99 €"
Final Fantasy XII,Square Enix, singleplayer,"76,99 €"
Super Mario World: Super Mario Advance 2,Nintendo, ,"90,99 €"
Super Smash Bros. Melee,HAL Labs, multiplayer,"91,99 €"
Rome: Total War,Creative Assembly, singleplayer,"90,99 €"
Forza Motorsport 3,Turn 10, multiplayer,"81,99 €"
Super Mario Sunshine,Nintendo, singleplayer,"84,99 €"
Tony Hawk's Pro Skater,Neversoft Entertainment, multiplayer,"88,99 €"
Thief: The Dark Project,Looking Glass Studios, singleplayer,"90,99 €"
Fire Emblem: Awakening,Intelligent Systems, singleplayer,"90,99 €"
Age of Empires II: The Age of Kings,Ensemble Studios, multiplayer,"91,99 €"
Final Fantasy X,SquareSoft, singleplayer,"89,99 €"
Unreal Tournament (1999),Epic Games, multiplayer,"90,99 €"
Sid Meier's Alpha Centauri,Firaxis Games, ,"88,99 €"
Wave Race 64,Nintendo, multiplayer,"83,99 €"
Galactic Civilizations II: Twilight of the Arnor,Stardock, singleplayer,"82,99 €"
Super Smash Bros. for Wii U,Bandai Namco Games, multiplayer,"89,99 €"
Chrono Trigger,TOSE, singleplayer,"91,99 €"
Xenoblade Chronicles,Monolith Soft, singleplayer,"91,99 €"
Conker's Bad Fur Day,Rare Ltd., ,"89,99 €"
Mario Kart 8 Deluxe,Nintendo, multiplayer,"86,99 €"
The ICO & Shadow of the Colossus Collection,Bluepoint Games, singleplayer,"87,99 €"
Metroid Prime 2: Echoes,Retro Studios, multiplayer,"89,99 €"
Out of the Park Baseball 17,Out Of The Park Developments, ,"33,99 €"
Metroid Fusion,Nintendo, singleplayer,"91,99 €"
Final Fantasy VI Advance,TOSE, multiplayer,"87,99 €"
Dishonored,Arkane Studios, singleplayer,"85,99 €"
Medal of Honor: Allied Assault,2015, ,"85,99 €"
Myth: The Fallen Lords,Bungie Software, multiplayer,"85,99 €"
LittleBigPlanet 2,Media Molecule, multiplayer,"86,99 €"
Psychonauts 2,Double Fine Productions, ,"55,99 €"
Guitar Hero,Harmonix Music Systems, multiplayer,"86,99 €"
World of Warcraft: Wrath of the Lich King,Blizzard Entertainment, multiplayer,"79,99 €"
Metroid Prime Trilogy,Retro Studios, singleplayer,"90,99 €"
F1 Challenge '99-'02,Electronic Arts, multiplayer,"76,99 €"
Baldur's Gate,BioWare, multiplayer,"89,99 €"
Klonoa 2: Lunatea's Veil,Namco, singleplayer,"86,99 €"
IL-2 Sturmovik,1C, multiplayer,"87,99 €"
Mario Tennis,Camelot Software Planning, ,"88,99 €"
FreeSpace 2,Volition Inc., multiplayer,"87,99 €"
Colony Wars,Psygnosis, singleplayer,"83,99 €"
Ratchet & Clank: Up Your Arsenal,Insomniac Games, multiplayer,"91,99 €"
Resident Evil (2002),Capcom, singleplayer,"92,99 €"
Metal Gear Solid 3: Snake Eater,KCEJ, singleplayer,"92,99 €"
Twisted Metal: Black,Incognito Inc., multiplayer,"84,99 €"
Spyro: Year of the Dragon,Insomniac Games, singleplayer,"89,99 €"
Tomb Raider,Core Design Ltd., singleplayer,"84,99 €"
Factorio,Wube Software LTD., multiplayer,"91,99 €"
Resident Evil 4: Wii Edition,Capcom, singleplayer,"89,99 €"
Peggle,PopCap, ,"73,99 €"
The Legend of Zelda: Ocarina of Time / Master Quest,Nintendo, singleplayer,"89,99 €"
Sonic Mania Plus,Sega, multiplayer,"81,99 €"
Kentucky Route Zero - Act III,Cardboard Computer, ,"66,99 €"
Crysis,Crytek, singleplayer,"81,99 €"
Ninja Gaiden,Team Ninja, singleplayer,"88,99 €"
God of War: Chains of Olympus,Ready at Dawn, singleplayer,"86,99 €"
DOA2: Hardcore,Team Ninja, multiplayer,"81,99 €"
World of Warcraft: The Burning Crusade,Blizzard Entertainment, multiplayer,"65,99 €"
Yoshi's Island: Super Mario Advance 3,Nintendo, multiplayer,"89,99 €"
The Longest Journey,Funcom, singleplayer,"87,99 €"
Star Wars Jedi Knight: Dark Forces II,LucasArts, multiplayer,"86,99 €"
